branch_id,latitude,longitude,districtName,branchName,GTV2024,AOV2024,Bill2024,total_revenue,total_qty,transaction_count,performance_score,Category,dist_to_sudirman_cbd,dist_to_blok_m,dist_to_pondok_indah,dist_to_kemang,dist_to_senayan,dist_to_nearest_landmark,competitors_0.5km,same_category_competitors_0.5km,competitor_revenue_0.5km,competition_intensity_0.5km,competitors_1.0km,same_category_competitors_1.0km,competitor_revenue_1.0km,competition_intensity_1.0km,competitors_2.0km,same_category_competitors_2.0km,competitor_revenue_2.0km,competition_intensity_2.0km
4888,-6.241037,106.810624,Kebayoran Baru,BEAU Bakery - Fatmawati,631796986.63,405517.96317715,1558.0,6129902340.45,118272.0,53039,0.2869746401162548,Others,2.6983639166818336,1.4776593256008914,5.627903877168086,4.612614972801186,2.121289648046755,1.4776593256008914,2,0,1263593973.26,421197991.08666664,7,1,3911067919.78,488883489.9725,43,6,28937559594.050014,657671808.9556822
4972,-6.22552157,106.82650377,Setia Budi,Hot Stuff One Satrio,3051474531.0,87880.49796965,34723.0,819757314.4,26754.0,7336,0.43507429268689607,Others,3.750015818401301,3.771421181747504,8.01769541743684,6.995596624383894,3.1314907622901145,3.1314907622901145,12,3,36617694372.0,2816745720.923077,24,3,68396033655.259995,2735841346.2103996,60,9,104897788050.56003,1719635869.6813118
4985,-6.2112016,106.82104186,Setia Budi,HOY TOD,3051474531.0,87880.49796965,34723.0,390470000.0,12212.0,2170,0.42558344760395933,Others,3.4743069661018433,4.41310969393801,8.54054621113821,8.082599579016518,3.034380651668235,3.034380651668235,3,0,9154423593.0,2288605898.25,7,2,18940644172.63,2367580521.57875,39,7,94810731265.30002,2370268281.6325006
5093,-6.2648233,106.8086157,Kebayoran Baru,Cheong Chun Pocha Kemang,631796986.63,405517.96317715,1558.0,62916000.0,3346.0,1911,0.18279920772296007,Others,4.790158485278238,2.6706038665374954,4.73121922859695,2.4325218751584687,4.400848472216701,2.4325218751584687,1,0,84317000.0,42158500.0,12,5,1371494000.0,105499538.46153846,33,7,7028694906.410001,206726320.77676472
5110,-6.22546758,106.85241985,Tebet,Kebuli Ijab Qabul Tebet,165329450.0,62083.90912505,2663.0,767461447.58,12470.0,3552,0.0415155111736349,Thai Appetizers and Salads,6.617349553352332,6.3949684776343965,10.538189382754586,8.937590829468338,5.998914453297394,5.998914453297394,0,0,0.0,0.0,1,1,165329450.0,82664725.0,25,5,7019381331.0,269976205.03846157
5123,-6.224891,106.809784,Kebayoran Baru,Shaburi Kintan PP,631796986.63,405517.96317715,1558.0,44373861033.32,1495921.0,136465,0.6166499475569293,Egg Dishes,1.8985365214785097,2.4581097990634957,6.594718811806664,6.209712364636616,1.2906137671524422,1.2906137671524422,7,0,4422578906.41,552822363.30125,13,0,13052715914.929996,932336851.0664283,47,0,89163375007.6,1857570312.6583335
5124,-6.223986,106.843102,Tebet,Shaburi Kota Kasablanka,165329450.0,62083.90912505,2663.0,7042317980.38,260582.0,23018,0.10351678746259581,Egg Dishes,5.5858006711807455,5.486079649895748,9.68655310083379,8.295037312708377,4.9740695039044835,4.9740695039044835,15,0,5366086831.0,335380426.9375,15,0,5366086831.0,335380426.9375,29,0,28816649771.260002,960554992.3753334
5204,-6.27181365,106.84100801,Pasar Minggu,Hakuna Matata Pejaten,30594000.0,63870.56367432,479.0,420633706.0,8694.0,3427,0.02017533006500495,Others,7.480402189144178,5.751110224635912,8.347640538775812,5.591898092514088,6.90134812064187,5.591898092514088,1,1,30594000.0,15297000.0,2,1,61188000.0,20396000.0,6,3,534436000.0,76348000.0
5208,-6.23846355,106.8150966,Kebayoran Baru,SENOVARTI,631796986.63,405517.96317715,1558.0,5449142421.8,76881.0,21700,0.24023616113603077,Fried and Crispy,2.922618095240581,2.0243049267316944,6.198655095321897,5.107005851486249,2.2943410546137,2.0243049267316944,1,0,631796986.63,315898493.315,8,0,4031353919.78,447928213.3088889,46,1,65219947161.74996,1387658450.2499993
5210,-6.27821257,106.80736525,Cilandak,Shabu.Siy Cipete,84317000.0,39035.64814815,2160.0,18958560128.7082,1125831.0,82138,0.23506709917608634,Packaging and Accessories,6.152272684065112,4.0024111384700145,4.8129490193464015,1.8312833136668047,5.817230881788946,1.8312833136668047,1,0,84317000.0,42158500.0,4,0,337268000.0,67453600.0,24,0,3137243973.26,125489758.93040001
5238,-6.24460602,106.79974317,Kebayoran Baru,IZOKAYA,631796986.63,405517.96317715,1558.0,1129011240.0,38122.0,8813,0.1982543903058113,Others,2.351438682416925,0.28372081230595103,4.386490319592769,3.794863763731298,2.0191205053208536,0.28372081230595103,9,0,5686172879.67,568617287.967,16,1,10108751786.079998,594632458.0047058,33,4,19314767598.899994,568081399.9676468
5303,-6.22006395,106.822877,Setia Budi,Depot_001,3051474531.0,87880.49796965,34723.0,10166286000.0,1120622.0,2380,0.48094753239112453,Coffee and Hot Beverages,3.384063175473092,3.815389072256213,8.044774923150195,7.298286815807221,2.8174397726110882,2.8174397726110882,14,2,42720643434.0,2848042895.6,23,3,70183914213.0,2924329758.875,46,5,102583175750.56001,2182620760.6502132
5307,-6.246454,106.798887,Kebayoran Baru,Depot_003,631796986.63,405517.96317715,1558.0,40570649000.0,4342429.0,8729,0.4203521586836623,Coffee and Hot Beverages,2.517248466174511,0.37204359662408104,4.20130006451639,3.5730955756250573,2.2176715346253015,0.37204359662408104,12,1,7581563839.56,583197218.4276923,16,3,10108751786.079998,594632458.0047058,31,4,16956213652.37999,529881676.6368747
5391,-6.27269571,106.80846982,Cilandak,Zushiku - Astha District 8,84317000.0,39035.64814815,2160.0,11060640150.0,1079106.0,36764,0.12845348075805302,Others,5.603365285242,3.4606398987229436,4.787273927427084,2.0308962497393392,5.242593940507509,2.0308962497393392,0,0,0.0,0.0,6,1,1035627986.63,147946855.23285714,28,7,3833740973.26,132197964.59517242
5441,-6.22216747,106.84228071,Setia Budi,Shihlin Kota Kasablanka frc,3051474531.0,87880.49796965,34723.0,2633061593.8,118402.0,5428,0.4426783309086965,Tea and Traditional Drinks,5.500962843437818,5.485578094671906,9.703478452514204,8.378294673540053,4.89848629651769,4.89848629651769,15,0,2479941750.0,154996359.375,15,0,2479941750.0,154996359.375,29,0,31702794852.260002,1056759828.4086667
